"Time","Coral","Macro","Turf"
85,1.1624080703510705e-12,0.8754128955898755,0.12458710440896584
86,8.016605143552277e-13,0.8505791308765882,0.14942086912260932
87,5.530432064575034e-13,0.8409764530345336,0.15902354696491297
88,3.775647049153138e-13,0.8576480653464372,0.14235193465318519
89,2.571022350390207e-13,0.865911929898099,0.13408807010164622
90,1.7896123673177666e-13,0.8404543278030722,0.1595456721967465
91,1.2517324260324902e-13,0.808191888765108,0.19180811123476713
92,8.734962727721889e-14,0.8621355311509937,0.13786446884891893
93,5.9325215001232e-14,0.8650573984940695,0.13494260150587262
94,3.970584519719886e-14,0.8745513235640489,0.1254486764359116
95,2.6487181541710328e-14,0.8795182776279868,0.1204817223719866
96,1.7480953912434474e-14,0.875765455612789,0.12423454438719342
97,1.1573975531920334e-14,0.8804872308768112,0.11951276912318065
98,7.842546060475975e-15,0.8574422844876793,0.14255771551231225
99,5.4002204274026415e-15,0.8510033245114518,0.14899667548854023
100,3.690851129539796e-15,0.8584819306513929,0.1415180693486035
